Mon,29-Apr,,@ChW,Oak,Bal,,,@Min,Tam,Hou,,@Bos,,@Kan,,,,Sdg,,@NYM,@Mil,,@Sfo,Col,Cin,,,@Atl,Los,@Was,StL
Tue,30-Apr,Tor,@ChW,Oak,Bal,@Fla,@Phi,@Min,Tam,Hou,@Ari,@Bos,ChC,@Kan,Pit,@Ana,NYY,Sdg,@Sea,@NYM,@Mil,Cle,@Sfo,Col,Cin,Det,@Tex,@Atl,Los,@Was,StL
Wed,01-May,Tor,@ChW,Oak,Bal,@Fla,@Phi,@Min,Tam,Hou,@Ari,@Bos,ChC,@Kan,Pit,@Ana,NYY,Sdg,@Sea,@NYM,@Mil,Cle,@Sfo,Col,Cin,Det,@Tex,@Atl,Los,@Was,StL
Thu,02-May,Tor,,@ChW,Bos,,,@Min,Tam,Hou,,,,@Kan,,@Ana,,Sdg,,@NYM,@Mil,,,Col,Cin,,,@Atl,,@Was,StL
Fri,03-May,,Tam,@ChW,Bos,Sea,Kan,,@Det,@NYY,Min,@Pit,@Cle,@Bal,Tor,@Tex,@Col,@Fla,StL,Sfo,Ari,Atl,@Sdg,NYM,@Mil,Was,Oak,Los,@Cin,@ChC,@Phi
Sat,04-May,Hou,Tam,@ChW,Bos,Sea,Kan,@Ana,@Det,@NYY,Min,@Pit,@Cle,@Bal,Tor,@Tex,@Col,@Fla,StL,Sfo,Ari,Atl,@Sdg,NYM,@Mil,Was,Oak,Los,@Cin,@ChC,@Phi
Sun,05-May,Hou,Tam,@ChW,Bos,Sea,Kan,@Ana,@Det,@NYY,Min,@Pit,@Cle,@Bal,Tor,@Tex,@Col,@Fla,StL,Sfo,Ari,Atl,@Sdg,NYM,@Mil,Was,Oak,Los,@Cin,@ChC,@Phi
Mon,06-May,,Bos,@Bal,@Cle,ChW,,Kan,@Hou,@Tor,Sea,,@NYY,Ari,,Min,@Tam,@Los,Fla,Sfo,,@ChC,Atl,Was,@Sdg,@StL,,NYM,@Cin,Phi,@Mil
Tue,07-May,@Det,Bos,@Bal,@Cle,ChW,Ana,Kan,@Hou,@Tor,Sea,Cin,@NYY,Ari,@Pit,Min,@Tam,@Los,Fla,@Oak,Sfo,@ChC,Atl,Was,@Sdg,@StL,Tex,NYM,@Col,Phi,@Mil
Wed,08-May,@Det,Bos,@Bal,@Cle,ChW,Ana,Kan,@Hou,@Tor,Sea,Cin,@NYY,Ari,@Pit,Min,@Tam,@Los,Fla,@Oak,Sfo,@ChC,Atl,Was,@Sdg,@StL,Tex,NYM,@Col,Phi,@Mil
Thu,09-May,@Det,,,@Cle,ChW,Ana,Tex,,,Sea,Cin,@NYY,,@Hou,,Atl,@Ari,Fla,@Oak,Sfo,@ChC,Was,,,,@StL,,@Col,Pit,@Los
Fri,10-May,@Bal,Ana,Sea,@Tor,@Oak,@Min,Tex,Phi,Det,@Tam,Cle,@Bos,NYY,@Hou,ChW,Atl,@Ari,Mil,@Sfo,Sdg,@NYM,Was,@ChC,Fla,@Kan,@StL,@Col,Cin,Pit,@Los
Sat,11-May,@Bal,Ana,Sea,@Tor,@Oak,@Min,Tex,Phi,Det,@Tam,Cle,@Bos,NYY,@Hou,ChW,Atl,@Ari,Mil,@Sfo,Sdg,@NYM,Was,@ChC,Fla,@Kan,@StL,@Col,Cin,Pit,@Los
Sun,12-May,@Bal,Ana,Sea,@Tor,@Oak,@Min,Tex,Phi,Det,@Tam,Cle,@Bos,NYY,@Hou,ChW,Atl,@Ari,Mil,@Sfo,Sdg,@NYM,Was,@ChC,Fla,@Kan,@StL,@Col,Cin,Pit,@Los
Mon,13-May,@Min,@NYY,,Cle,@ChW,Hou,@Det,,Ana,Bal,@Sea,Oak,,,,Pit,,,,,,,@Phi,,Mil,@Ari,,,,
Tue,14-May,@Min,@NYY,Col,Cle,@ChW,Hou,@Det,Tex,Ana,Bal,@Sea,Oak,@Fla,@Kan,@Sfo,Pit,StL,@Cin,ChC,@Bos,Tam,Sdg,@Phi,@Was,Mil,@Ari,@Los,Tor,@Atl,NYM
Wed,15-May,@Min,@NYY,Col,,,Hou,@Det,Tex,Ana,Bal,,,@Fla,@Kan,@Sfo,Pit,StL,@Cin,ChC,@Bos,Tam,Sdg,@Phi,@Was,Mil,@Ari,@Los,Tor,@Atl,NYM
Thu,16-May,,@Cle,,Tor,Bal,Oak,,Tex,@Sea,,@Det,Min,,@Kan,@ChW,,StL,@Cin,ChC,,,,@Phi,@Was,Mil,@Sdg,Pit,,@Atl,NYM
Fri,17-May,Kan,@Cle,Hou,Tor,Bal,Oak,@Bos,@Ana,@Sea,Tam,@Det,Min,@NYY,StL,@ChW,Sfo,Mil,@Was,Los,@Phi,NYM,@Cin,@Atl,@Fla,Col,@Sdg,Pit,@Ari,@Tex,ChC
Sat,18-May,Kan,@Cle,Hou,Tor,Bal,Oak,@Bos,@Ana,@Sea,Tam,@Det,Min,@NYY,StL,@ChW,Sfo,Mil,@Was,Los,@Phi,NYM,@Cin,@Atl,@Fla,Col,@Sdg,Pit,@Ari,@Tex,ChC
