,Home Team,Away Team,Home Team Score,Away Team Score
382,Philadelphia Phillies,Chicago Cubs,3,8
383,Pittsburgh Pirates,Cincinnati Reds,12,3
384,Cleveland Indians,Detroit Tigers,2,5
385,Texas Rangers,Houston Astros,7,8
386,Chicago White Sox,Kansas City Royals,6,0
387,San Francisco Giants,Los Angeles Dodgers,5,13
388,Tampa Bay Rays,Miami Marlins,3,1
389,Oakland Athletics,Minnesota Twins,1,9
390,Toronto Blue Jays,New York Yankees,5,11
391,Colorado Rockies,San Diego Padres,2,6
392,Los Angeles Angels,Seattle Mariners,6,4
393,Milwaukee Brewers,St. Louis Cardinals,1,2
394,Arizona D'Backs,Washington Nationals,6,3
395,New York Mets,Atlanta Braves,16,5
396,Baltimore Orioles,Boston Red Sox,2,4
397,Philadelphia Phillies,Chicago Cubs,4,5
398,Pittsburgh Pirates,Cincinnati Reds,2,7
399,Cleveland Indians,Detroit Tigers,3,2
400,Texas Rangers,Houston Astros,1,10
401,Chicago White Sox,Kansas City Royals,1,6
402,San Francisco Giants,Los Angeles Dodgers,4,1
403,Oakland Athletics,Minnesota Twins,4,7
404,Toronto Blue Jays,New York Yankees,6,8
405,Colorado Rockies,San Diego Padres,11,3
406,Los Angeles Angels,Seattle Mariners,7,8
407,Miami Marlins,Tampa Bay Rays,10,6
408,Arizona D'Backs,Washington Nationals,1,2
409,Baltimore Orioles,Boston Red Sox,8,3
410,Philadelphia Phillies,Chicago Cubs,4,5
411,Pittsburgh Pirates,Cincinnati Reds,2,4
412,Texas Rangers,Houston Astros,10,4
413,Chicago White Sox,Kansas City Royals,8,3
414,Oakland Athletics,Minnesota Twins,8,5
415,Colorado Rockies,San Diego Padres,3,2
416,Los Angeles Angels,Seattle Mariners,3,11
417,Milwaukee Brewers,St. Louis Cardinals,5,4
418,Miami Marlins,Tampa Bay Rays,1,5
419,Arizona D'Backs,Washington Nationals,2,4
420,Houston Astros,Los Angeles Angels,7,6
421,St. Louis Cardinals,Atlanta Braves,10,0
422,Chicago White Sox,Baltimore Orioles,2,4
423,New York Yankees,Chicago Cubs,3,2
424,San Francisco Giants,Cincinnati Reds,3,13
425,Arizona D'Backs,Colorado Rockies,6,3
426,Cleveland Indians,Kansas City Royals,1,3
427,Boston Red Sox,Minnesota Twins,3,4
428,Miami Marlins,New York Mets,7,8
429,Detroit Tigers,Oakland Athletics,7,2
430,Washington Nationals,Philadelphia Phillies,4,2
431,Milwaukee Brewers,Pittsburgh Pirates,0,4
432,Los Angeles Dodgers,San Diego Padres,8,2
433,Texas Rangers,Seattle Mariners,3,1
434,Toronto Blue Jays,Tampa Bay Rays,8,4
435,Houston Astros,Los Angeles Angels,1,2
436,St. Louis Cardinals,Atlanta Braves,5,3
437,Chicago White Sox,Baltimore Orioles,5,6
438,New York Yankees,Chicago Cubs,11,6
439,San Francisco Giants,Cincinnati Reds,2,14
440,Arizona D'Backs,Colorado Rockies,1,9
441,Cleveland Indians,Kansas City Royals,3,1
442,Boston Red Sox,Minnesota Twins,11,1
443,Miami Marlins,New York Mets,3,11
444,Detroit Tigers,Oakland Athletics,5,6
445,Washington Nationals,Philadelphia Phillies,6,2
446,Milwaukee Brewers,Pittsburgh Pirates,1,2
447,Los Angeles Dodgers,San Diego Padres,10,2
448,Texas Rangers,Seattle Mariners,2,8
