,Season,Team,W,L,SV,G,GS,IP,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
97,2013.0,Mets,74.0,88.0,40.0,697.0,162.0,1476.2,1209.0,7.37,2.79,0.93,0.295,0.7290000000000001,0.445,0.1,3.78,3.79,3.86,16.2
98,2011.0,Cardinals,90.0,72.0,47.0,630.0,162.0,1462.0,1098.0,6.76,2.76,0.84,0.296,0.716,0.47700000000000004,0.09300000000000001,3.79,3.75,3.79,13.7
99,2011.0,Rangers,96.0,66.0,38.0,579.0,162.0,1441.1,1179.0,7.36,2.88,1.06,0.278,0.725,0.426,0.107,3.79,3.98,3.83,17.9
100,2014.0,Marlins,77.0,85.0,42.0,649.0,162.0,1457.2,1190.0,7.35,2.83,0.7,0.31,0.7190000000000001,0.469,0.08,3.79,3.56,3.75,13.2
101,2016.0,Blue Jays,89.0,73.0,43.0,649.0,162.0,1459.1,1314.0,8.1,2.84,1.13,0.282,0.745,0.466,0.13,3.79,4.04,4.02,18.6
102,2013.0,Red Sox,97.0,65.0,33.0,612.0,162.0,1454.0,1294.0,8.01,3.24,0.97,0.294,0.745,0.429,0.102,3.79,3.84,3.89,16.0
103,2011.0,Diamondbacks,94.0,68.0,58.0,625.0,162.0,1443.1,1058.0,6.6,2.76,0.99,0.286,0.7390000000000001,0.419,0.095,3.8,4.02,4.05,13.8
104,2014.0,Phillies,73.0,89.0,40.0,623.0,162.0,1468.1,1255.0,7.69,3.19,0.82,0.295,0.722,0.46399999999999997,0.094,3.81,3.81,3.83,15.4
105,2015.0,Blue Jays,93.0,69.0,34.0,631.0,162.0,1441.0,1117.0,6.98,2.48,1.08,0.278,0.727,0.43700000000000006,0.11,3.81,4.09,4.14,14.4
106,2013.0,Indians,92.0,70.0,38.0,702.0,162.0,1441.1,1379.0,8.61,3.46,0.92,0.302,0.742,0.445,0.107,3.82,3.73,3.71,16.2
107,2008.0,Rays,97.0,65.0,52.0,610.0,162.0,1457.2,1143.0,7.06,3.25,1.02,0.277,0.74,0.408,0.09300000000000001,3.82,4.22,4.35,16.8
108,2018.0,Athletics,97.0,65.0,44.0,740.0,162.0,1465.2,1237.0,7.6,2.91,1.13,0.27,0.735,0.436,0.122,3.82,4.18,4.25,13.4
109,2013.0,Brewers,74.0,88.0,40.0,663.0,162.0,1442.2,1125.0,7.02,2.91,1.09,0.286,0.735,0.444,0.11900000000000001,3.84,4.12,3.94,10.1
110,2009.0,Cubs,83.0,78.0,40.0,641.0,161.0,1445.1,1272.0,7.92,3.65,1.0,0.285,0.7440000000000001,0.428,0.1,3.84,4.11,4.14,17.7
111,2018.0,Cardinals,88.0,74.0,43.0,727.0,162.0,1455.1,1337.0,8.27,3.67,0.89,0.293,0.73,0.446,0.105,3.85,3.97,4.24,14.8
112,2012.0,Yankees,95.0,67.0,51.0,647.0,162.0,1445.1,1318.0,8.21,2.68,1.18,0.296,0.7509999999999999,0.449,0.13,3.85,3.98,3.75,20.1
113,2016.0,Indians,94.0,67.0,37.0,665.0,161.0,1445.0,1398.0,8.71,2.87,1.16,0.289,0.7340000000000001,0.467,0.13699999999999998,3.86,3.91,3.8,19.0
114,2012.0,Phillies,81.0,81.0,42.0,602.0,162.0,1451.1,1385.0,8.59,2.54,1.1,0.298,0.7290000000000001,0.435,0.121,3.86,3.72,3.61,19.9
115,2008.0,Brewers,90.0,72.0,45.0,607.0,162.0,1455.2,1110.0,6.86,3.26,1.08,0.285,0.745,0.45399999999999996,0.11699999999999999,3.87,4.34,4.14,14.3
116,2008.0,Cubs,97.0,64.0,44.0,639.0,161.0,1450.2,1264.0,7.84,3.4,0.99,0.281,0.74,0.41600000000000004,0.098,3.87,4.09,4.14,19.9
117,2009.0,Mariners,85.0,77.0,49.0,572.0,162.0,1452.2,1043.0,6.46,3.31,1.07,0.272,0.7340000000000001,0.41200000000000003,0.09699999999999999,3.87,4.39,4.46,13.8
118,2017.0,Nationals,97.0,65.0,46.0,649.0,162.0,1446.2,1457.0,9.06,3.08,1.18,0.287,0.7440000000000001,0.44,0.128,3.88,3.99,4.12,20.8
119,2008.0,Phillies,92.0,70.0,47.0,630.0,162.0,1449.2,1081.0,6.71,3.31,0.99,0.292,0.748,0.44799999999999995,0.10800000000000001,3.89,4.3,4.21,16.5
120,2012.0,Orioles,93.0,69.0,55.0,654.0,162.0,1483.0,1177.0,7.14,2.92,1.12,0.285,0.738,0.447,0.11699999999999999,3.9,4.2,4.14,16.3
121,2012.0,Pirates,79.0,83.0,45.0,645.0,162.0,1433.1,1192.0,7.48,3.08,0.96,0.286,0.726,0.466,0.11,3.91,3.94,3.97,10.3
122,2011.0,Mariners,67.0,95.0,39.0,513.0,162.0,1433.0,1088.0,6.83,2.74,0.91,0.285,0.715,0.43799999999999994,0.091,3.91,3.84,3.92,15.0
123,2013.0,Diamondbacks,81.0,81.0,38.0,689.0,162.0,1495.0,1218.0,7.33,2.92,1.06,0.292,0.745,0.46,0.122,3.92,4.04,3.83,9.4
124,2014.0,Cubs,73.0,89.0,37.0,699.0,162.0,1463.1,1311.0,8.06,3.1,0.71,0.304,0.696,0.44,0.08,3.92,3.51,3.7,18.0
125,2010.0,Rangers,90.0,72.0,46.0,643.0,162.0,1455.1,1181.0,7.3,3.41,1.0,0.28,0.736,0.415,0.09300000000000001,3.93,4.17,4.19,18.8
126,2015.0,Angels,85.0,77.0,46.0,680.0,162.0,1440.2,1221.0,7.63,2.91,1.04,0.285,0.733,0.415,0.1,3.94,4.06,4.26,12.5
127,2012.0,Diamondbacks,81.0,81.0,39.0,623.0,162.0,1433.2,1200.0,7.53,2.62,0.97,0.301,0.72,0.461,0.11,3.94,3.81,3.84,16.4
128,2013.0,Yankees,85.0,77.0,49.0,590.0,162.0,1447.1,1233.0,7.67,2.72,1.06,0.302,0.746,0.44,0.115,3.94,3.89,3.76,17.6
129,2010.0,Mariners,61.0,101.0,38.0,520.0,162.0,1438.0,973.0,6.09,2.83,0.98,0.279,0.7140000000000001,0.434,0.09,3.95,4.17,4.23,12.7
130,2011.0,Marlins,72.0,90.0,40.0,670.0,162.0,1459.2,1218.0,7.51,3.08,0.92,0.292,0.715,0.446,0.096,3.95,3.79,3.8,13.3
131,2010.0,Twins,94.0,68.0,40.0,627.0,162.0,1452.2,1048.0,6.49,2.37,0.96,0.299,0.7340000000000001,0.447,0.092,3.95,3.91,3.93,17.8
132,2018.0,Giants,73.0,89.0,36.0,711.0,162.0,1461.1,1269.0,7.82,3.23,0.96,0.293,0.723,0.445,0.11,3.95,3.98,4.2,12.2
133,2017.0,Cubs,92.0,70.0,38.0,693.0,162.0,1447.1,1439.0,8.95,3.44,1.21,0.285,0.742,0.462,0.145,3.95,4.2,4.1,15.7
134,2013.0,Padres,76.0,86.0,40.0,650.0,162.0,1455.0,1171.0,7.24,3.25,0.96,0.292,0.725,0.45799999999999996,0.10800000000000001,3.98,4.0,3.96,8.1
135,2015.0,White Sox,76.0,86.0,37.0,576.0,162.0,1452.2,1359.0,8.42,2.94,1.0,0.311,0.7290000000000001,0.452,0.114,3.98,3.82,3.81,19.5
136,2017.0,Rays,80.0,82.0,53.0,673.0,162.0,1445.0,1352.0,8.42,3.13,1.2,0.283,0.73,0.43,0.128,3.99,4.17,4.29,15.3
137,2008.0,Diamondbacks,82.0,80.0,39.0,606.0,162.0,1434.2,1229.0,7.71,2.83,0.92,0.297,0.7090000000000001,0.45299999999999996,0.099,3.99,3.84,3.87,23.6
138,2013.0,White Sox,63.0,99.0,40.0,632.0,162.0,1455.0,1249.0,7.73,3.15,1.13,0.295,0.731,0.433,0.115,4.0,4.13,3.98,15.7
139,2013.0,Cubs,66.0,96.0,39.0,651.0,162.0,1448.0,1184.0,7.36,3.36,0.99,0.279,0.728,0.424,0.10300000000000001,4.0,4.1,4.13,9.0
140,2016.0,Mariners,86.0,76.0,49.0,638.0,162.0,1457.0,1318.0,8.14,2.84,1.32,0.292,0.7490000000000001,0.434,0.138,4.0,4.3,4.17,12.8
141,2017.0,Brewers,86.0,76.0,54.0,712.0,162.0,1445.2,1346.0,8.38,3.44,1.15,0.298,0.748,0.457,0.135,4.0,4.24,4.26,17.3
142,2013.0,Giants,76.0,86.0,41.0,686.0,162.0,1447.1,1256.0,7.81,3.24,0.9,0.295,0.721,0.42100000000000004,0.099,4.0,3.8,3.89,9.3
