,Home Team,Away Team,Home Team Score,Away Team Score
279,Arizona D'Backs,Chicago Cubs,1,5
280,Kansas City Royals,Cleveland Indians,3,4
281,San Francisco Giants,Colorado Rockies,2,8
282,Chicago White Sox,Detroit Tigers,3,1
283,Philadelphia Phillies,Los Angeles Dodgers,7,0
284,San Diego Padres,Milwaukee Brewers,3,4
285,St. Louis Cardinals,New York Mets,0,2
286,Texas Rangers,Oakland Athletics,4,3
287,Cincinnati Reds,Pittsburgh Pirates,5,6
288,Houston Astros,Seattle Mariners,7,2
289,LA Angels of Anaheim,Washington Nationals,4,2
290,Miami Marlins,Atlanta Braves,1,0
291,New York Yankees,Boston Red Sox,9,3
292,Arizona D'Backs,Chicago Cubs,2,9
293,Kansas City Royals,Cleveland Indians,8,2
294,San Francisco Giants,Colorado Rockies,1,2
295,Chicago White Sox,Detroit Tigers,6,8
296,Philadelphia Phillies,Los Angeles Dodgers,3,2
297,San Diego Padres,Milwaukee Brewers,2,1
298,St. Louis Cardinals,New York Mets,3,0
299,Texas Rangers,Oakland Athletics,5,4
300,Cincinnati Reds,Pittsburgh Pirates,4,1
301,Houston Astros,Seattle Mariners,5,2
302,Minnesota Twins,Tampa Bay Rays,3,7
303,Baltimore Orioles,Toronto Blue Jays,3,9
304,LA Angels of Anaheim,Washington Nationals,7,2
305,Miami Marlins,Atlanta Braves,1,3
306,New York Yankees,Boston Red Sox,1,5
307,Arizona D'Backs,Chicago Cubs,7,5
308,Kansas City Royals,Cleveland Indians,3,5
309,San Francisco Giants,Colorado Rockies,12,10
310,Chicago White Sox,Detroit Tigers,6,4
311,Philadelphia Phillies,Los Angeles Dodgers,2,5
312,San Diego Padres,Milwaukee Brewers,2,5
313,St. Louis Cardinals,New York Mets,2,3
314,Texas Rangers,Oakland Athletics,3,0
315,Cincinnati Reds,Pittsburgh Pirates,5,2
316,Houston Astros,Seattle Mariners,3,5
317,Minnesota Twins,Tampa Bay Rays,6,4
318,Baltimore Orioles,Toronto Blue Jays,10,8
319,LA Angels of Anaheim,Washington Nationals,4,5
